i,val_rmse,val_r2,train_rmse,gap,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
129,0.20907066087335074,0.22546352189224128,0.19491561889057182,0.014155041982778921,0.0,0.01,255,3.0,800,15,50
2058,0.20908955845336674,0.2253234972086131,0.19846701258686414,0.010622545866502603,1.0,0.03,255,3.0,200,31,50
2061,0.20908955845336674,0.2253234972086131,0.19846701258686414,0.010622545866502603,1.0,0.03,255,3.0,200,63,50
2055,0.20908955845336674,0.2253234972086131,0.19846701258686414,0.010622545866502603,1.0,0.03,255,3.0,200,15,50
549,0.20918061919397288,0.22464859045929053,0.19141969549973398,0.0177609236942389,0.0,0.05,255,3.0,200,63,50
543,0.20918061919397288,0.22464859045929053,0.19141969549973398,0.0177609236942389,0.0,0.05,255,3.0,200,15,50
546,0.20918061919397288,0.22464859045929053,0.19141969549973398,0.0177609236942389,0.0,0.05,255,3.0,200,31,50
891,0.20918756202289288,0.2245971208580939,0.19641729598921556,0.012770266033677313,0.1,0.01,128,3.0,800,63,50
885,0.20918756202289288,0.2245971208580939,0.19641729598921556,0.012770266033677313,0.1,0.01,128,3.0,800,15,50
888,0.20918756202289288,0.2245971208580939,0.19641729598921556,0.012770266033677313,0.1,0.01,128,3.0,800,31,50
2072,0.2092049484878678,0.2244682214615693,0.18807973591698893,0.021125212570878876,1.0,0.03,255,3.0,800,15,20
2069,0.2092049484878678,0.2244682214615693,0.18807973591698893,0.021125212570878876,1.0,0.03,255,3.0,400,63,20
2078,0.2092049484878678,0.2244682214615693,0.18807973591698893,0.021125212570878876,1.0,0.03,255,3.0,800,63,20
2075,0.2092049484878678,0.2244682214615693,0.18807973591698893,0.021125212570878876,1.0,0.03,255,3.0,800,31,20
2066,0.2092049484878678,0.2244682214615693,0.18807973591698893,0.021125212570878876,1.0,0.03,255,3.0,400,31,20
2063,0.2092049484878678,0.2244682214615693,0.18807973591698893,0.021125212570878876,1.0,0.03,255,3.0,400,15,20
1749,0.20923460593698187,0.2242483229867388,0.195488759255472,0.013745846681509882,1.0,0.01,128,3.0,800,15,50
1752,0.20923460593698187,0.2242483229867388,0.195488759255472,0.013745846681509882,1.0,0.01,128,3.0,800,31,50
1755,0.20923460593698187,0.2242483229867388,0.195488759255472,0.013745846681509882,1.0,0.01,128,3.0,800,63,50
542,0.20935643526544764,0.2233446787733454,0.19116615109532184,0.018190284170125803,0.0,0.05,255,3.0,200,15,20
545,0.20935643526544764,0.2233446787733454,0.19116615109532184,0.018190284170125803,0.0,0.05,255,3.0,200,31,20
548,0.20935643526544764,0.2233446787733454,0.19116615109532184,0.018190284170125803,0.0,0.05,255,3.0,200,63,20
1299,0.20944732481785364,0.22267018145212103,0.19225039782306835,0.017196926994785283,0.1,0.05,128,3.0,200,15,50
1302,0.20944732481785364,0.22267018145212103,0.19225039782306835,0.017196926994785283,0.1,0.05,128,3.0,200,31,50
1305,0.20944732481785364,0.22267018145212103,0.19225039782306835,0.017196926994785283,0.1,0.05,128,3.0,200,63,50
2283,0.20948675348192505,0.22237748770514487,0.19194746088893008,0.01753929259299497,1.0,0.05,255,3.0,400,31,50
2286,0.20948675348192505,0.22237748770514487,0.19194746088893008,0.01753929259299497,1.0,0.05,255,3.0,400,63,50
2292,0.20948675348192505,0.22237748770514487,0.19194746088893008,0.01753929259299497,1.0,0.05,255,3.0,800,31,50
2289,0.20948675348192505,0.22237748770514487,0.19194746088893008,0.01753929259299497,1.0,0.05,255,3.0,800,15,50
2280,0.20948675348192505,0.22237748770514487,0.19194746088893008,0.01753929259299497,1.0,0.05,255,3.0,400,15,50
2295,0.20948675348192505,0.22237748770514487,0.19194746088893008,0.01753929259299497,1.0,0.05,255,3.0,800,63,50
2277,0.2095182141607344,0.22214390377941362,0.1921691058224389,0.017349108338295505,1.0,0.05,255,3.0,200,63,50
2271,0.2095182141607344,0.22214390377941362,0.1921691058224389,0.017349108338295505,1.0,0.05,255,3.0,200,15,50
2274,0.2095182141607344,0.22214390377941362,0.1921691058224389,0.017349108338295505,1.0,0.05,255,3.0,200,31,50
2272,0.2095438506973795,0.2219535360215259,0.19080319561049464,0.018740655086884855,1.0,0.05,255,3.0,200,31,10
2275,0.2095438506973795,0.2219535360215259,0.19080319561049464,0.018740655086884855,1.0,0.05,255,3.0,200,63,10
2269,0.2095438506973795,0.2219535360215259,0.19080319561049464,0.018740655086884855,1.0,0.05,255,3.0,200,15,10
2071,0.20956802903062355,0.2217739750185983,0.18856060193856758,0.02100742709205597,1.0,0.03,255,3.0,800,15,10
2074,0.20956802903062355,0.2217739750185983,0.18856060193856758,0.02100742709205597,1.0,0.03,255,3.0,800,31,10
2062,0.20956802903062355,0.2217739750185983,0.18856060193856758,0.02100742709205597,1.0,0.03,255,3.0,400,15,10
