i,val_rmse,val_r2,train_rmse,train_r2,gap_rmse,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
54,0.1703130467450644,0.4860137173739416,0.1297773623915307,0.6990846988486299,0.04053568435353369,0.0,0.01,128,5.0,800,63,50
51,0.1703130467450644,0.4860137173739416,0.1297773623915307,0.6990846988486299,0.04053568435353369,0.0,0.01,128,5.0,800,31,50
1574,0.17048753696754462,0.4849599927750654,0.07721610845319972,0.8934723846068533,0.0932714285143449,0.1,0.1,128,7.0,200,63,20
1583,0.17048753696754462,0.4849599927750654,0.07721610845319972,0.8934723846068533,0.0932714285143449,0.1,0.1,128,7.0,400,63,20
1592,0.17048753696754462,0.4849599927750654,0.07721610845319972,0.8934723846068533,0.0932714285143449,0.1,0.1,128,7.0,800,63,20
294,0.17063898548045717,0.48404453947924697,0.11452561416113508,0.7656571842299527,0.05611337131932209,0.0,0.03,128,7.0,800,31,50
285,0.17063898548045717,0.48404453947924697,0.11452561416113508,0.7656571842299527,0.05611337131932209,0.0,0.03,128,7.0,400,31,50
276,0.170768620956769,0.48326029268367754,0.11959662243938338,0.7444450987318589,0.05117199851738563,0.0,0.03,128,7.0,200,31,50
366,0.17078121209668148,0.48318408920109346,0.1312517562924729,0.6922084930250048,0.03952945580420858,0.0,0.03,255,5.0,400,31,50
375,0.17078121209668148,0.48318408920109346,0.1312517562924729,0.6922084930250048,0.03952945580420858,0.0,0.03,255,5.0,800,31,50
2302,0.1710398873396834,0.48161730413004566,0.11466648503708284,0.7650803284579186,0.05637340230260056,1.0,0.05,255,5.0,200,63,10
2311,0.1710398873396834,0.48161730413004566,0.11466648503708284,0.7650803284579186,0.05637340230260056,1.0,0.05,255,5.0,400,63,10
2320,0.1710398873396834,0.48161730413004566,0.11466648503708284,0.7650803284579186,0.05637340230260056,1.0,0.05,255,5.0,800,63,10
2140,0.17111055954937096,0.481188833089331,0.07986206840178336,0.8860465460505309,0.0912484911475876,1.0,0.03,255,,200,63,10
266,0.17126331566724423,0.4802620994588297,0.12139603522402387,0.736697252409507,0.04986728044322036,0.0,0.03,128,5.0,800,31,20
257,0.17126331566724423,0.4802620994588297,0.12139603522402387,0.736697252409507,0.04986728044322036,0.0,0.03,128,5.0,400,31,20
301,0.17139300061490612,0.47947468387608105,0.11382250150677832,0.7685257758904118,0.057570499108127796,0.0,0.03,128,,200,31,10
412,0.17141046056014728,0.47936862579433837,0.07919801961284018,0.8879337011393149,0.0922124409473071,0.0,0.03,255,,200,63,10
