feature,corr
feat_96,-0.005428408355816359
feat_168,-0.005334701862957461
feat_104,0.005324875031430698
feat_13,-0.005288431213204578
feat_84,-0.005276425880422778
feat_253,-0.0050571036630414744
feat_48,0.005036481568986592
feat_146,0.004859271007064689
feat_33,-0.004737991337461249
feat_244,-0.004646909205735986
feat_74,-0.004634161421136647
feat_114,-0.004573308193192787
feat_81,-0.004497350350888415
feat_16,-0.004496158153059067
feat_63,-0.004472692797249815
feat_183,-0.004462618414139951
feat_47,0.004456688308352982
feat_119,0.004436474660418866
feat_31,-0.004277187202286729
feat_9,0.00414989607992874
feat_60,0.004139284768930719
feat_75,0.004127747476359806
feat_151,-0.004117807222695059
feat_18,-0.0037910183501415175
feat_145,0.0037768039503268984
feat_158,-0.003710288960434437
feat_233,-0.003677771768606198
feat_129,-0.0036658201425868687
feat_164,-0.003571665748706283
feat_149,-0.0035338519445718927
feat_252,0.0033981811461674324
feat_5,-0.0033955143564656717
feat_101,0.003369144789658969
feat_176,0.0033109772348937005
feat_240,-0.003282836806663832
feat_178,0.0032322420358505788
feat_174,0.0031559667314948947
feat_257,0.003150264398420732
feat_135,-0.0030282472332071966
feat_19,0.003024997962439836
feat_182,-0.003012568427335321
feat_172,0.002928170718517395
feat_26,0.002889056013231341
feat_270,0.002825133057025303
feat_144,-0.002739382810746904
feat_218,-0.0026649405494454663
feat_219,-0.0026522205367724805
feat_93,-0.002632923463497557
feat_128,0.00262808577328919
feat_160,0.0025716980587276827
feat_192,0.0025712651042662186
feat_35,0.002555651832006162
feat_118,0.00254372219499371
feat_83,-0.0025053365902672946
feat_127,-0.0024967945532339774
feat_112,-0.0024760117562818607
feat_108,0.0024337395483518833
feat_155,0.002431968895195031
feat_187,-0.0023871438960338495
feat_107,-0.002292751832366289
feat_169,-0.0021662122288139403
feat_42,0.002112228517436384
feat_10,0.002030849666753122
feat_28,0.0019744728147251056
feat_73,0.0019334444588282788
feat_170,0.0018832340121335263
feat_205,0.001873700416919585
feat_215,0.0016568243713734998
feat_269,-0.001632047176309336
feat_185,0.0015576992236579594
feat_210,0.00155078071588893
feat_54,0.0015025819245923762
feat_88,0.0013802892826486489
feat_272,-0.0011997945928748145
feat_56,-0.0011524857050855973
feat_231,-0.0010632871762154895
feat_3,-0.0009638797719183375
feat_55,0.0006733697795821959
feat_25,0.0006177608756606115
feat_203,-0.0005793292962751696
feat_133,0.0005582730710902547
feat_188,0.000527149592660153
feat_261,0.0005139676004379814
feat_248,-0.00044759143924910167
feat_138,-0.0004360762535751975
feat_15,0.000428744485920936
feat_57,-0.00039200322042834694
feat_238,-0.0003801701491117027
feat_0,-0.00029508951111550534
feat_260,-0.0002799516771470794
feat_255,0.0002556660483828842
feat_229,-0.00023074812089603547
feat_91,-6.793519678593444e-05
feat_258,-5.1640018052012705e-05
feat_156,1.869486951891317e-05
